customer_id,first_name,last_name,phone,email,street,zip_code,city_id,state_id
1,Debra,Burks,,debra.burks@yahoo.com,9273 Thorne Ave. ,14127,19,1
2,Kasha,Todd,,kasha.todd@yahoo.com,910 Vine Street ,95008,34,2
3,Tameka,Fisher,,tameka.fisher@aol.com,769C Honey Creek St. ,90278,182,2
4,Daryl,Spence,,daryl.spence@aol.com,988 Pearl Lane ,11553,121,1
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,95820,132,2
6,Lyndsey,Bean,,lyndsey.bean@hotmail.com,769 West Road ,14450,26,1
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,14215,150,1
8,Jacquline,Duncan,,jacquline.duncan@yahoo.com,15 Brown St. ,11372,30,1
9,Genoveva,Baldwin,,genoveva.baldwin@msn.com,8550 Spruce Drive ,11050,193,1
10,Pamelia,Newman,,pamelia.newman@gmail.com,476 Chestnut Ave. ,10950,3,1
11,Deshawn,Mendoza,,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,10952,41,1
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,11550,185,1
13,Lashawn,Ortiz,,lashawn.ortiz@msn.com,27 Washington Rd. ,75604,184,3
14,Garry,Espinoza,,garry.espinoza@hotmail.com,7858 Rockaway Court ,75126,28,3
15,Linnie,Branch,,linnie.branch@gmail.com,314 South Columbia Ave. ,12901,192,1
16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,10002,93,1
17,Caren,Stephens,,caren.stephens@msn.com,914 Brook St. ,10583,165,1
18,Georgetta,Hardin,,georgetta.hardin@aol.com,474 Chapel Dr. ,14424,174,1
19,Lizzette,Stein,,lizzette.stein@yahoo.com,19 Green Hill Lane ,14127,19,1
20,Aleta,Shepard,,aleta.shepard@aol.com,684 Howard St. ,77478,69,3
21,Tobie,Little,,tobie.little@gmail.com,10 Silver Spear Dr. ,77904,22,3
22,Adelle,Larsen,,adelle.larsen@gmail.com,683 West Kirkland Dr. ,11731,11,1
23,Kaylee,English,,kaylee.english@msn.com,8786 Fulton Rd. ,11423,131,1
24,Corene,Wall,,corene.wall@msn.com,9601 Ocean Rd. ,95301,164,2
25,Regenia,Vaughan,,regenia.vaughan@gmail.com,44 Stonybrook Street ,10541,176,1
26,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,8755 W. Wild Horse St. ,11561,63,1
27,Santos,Valencia,,santos.valencia@yahoo.com,7479 Carpenter Street ,11104,154,1
28,Jeanice,Frost,,jeanice.frost@hotmail.com,76 Devon Lane ,10562,5,1
29,Syreeta,Hendricks,,syreeta.hendricks@msn.com,193 Spruce Road ,10541,176,1
30,Jamaal,Albert,,jamaal.albert@gmail.com,853 Stonybrook Street ,90505,178,2
31,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,94603,153,2
32,Araceli,Golden,,araceli.golden@msn.com,12 Ridgeview Ave. ,92831,62,2
33,Deloris,Burke,,deloris.burke@hotmail.com,895 Edgemont Drive ,90274,120,2
34,Brittney,Woodward,,brittney.woodward@aol.com,960 River St. ,11731,11,1
35,Guillermina,Noble,,guillermina.noble@msn.com,6 Del Monte Lane ,13027,177,1
36,Bernita,Mcdaniel,,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,13090,191,1
37,Melia,Brady,,melia.brady@gmail.com,907 Shirley Rd. ,11378,127,1
38,Zelma,Browning,,zelma.browning@aol.com,296 Second Street ,11102,33,1
39,Janetta,Aguirre,(717) 670-2634,janetta.aguirre@aol.com,214 Second Court ,14086,118,1
40,Ronna,Butler,,ronna.butler@gmail.com,9438 Plymouth Court ,91316,92,2
41,Kathie,Freeman,,kathie.freeman@msn.com,667 Temple Dr. ,12804,163,1
42,Tangela,Quinn,,tangela.quinn@aol.com,4 S. Purple Finch Road ,11418,55,1
43,Mozelle,Carter,(281) 489-9656,mozelle.carter@aol.com,895 Chestnut Ave. ,77016,27,3
44,Onita,Johns,,onita.johns@msn.com,32 Glen Creek Lane ,11003,45,1
45,Bennett,Armstrong,,bennett.armstrong@aol.com,688 Walnut Street ,11714,102,1
46,Monika,Berg,,monika.berg@gmail.com,369 Vernon Dr. ,91316,92,2
47,Bridgette,Guerra,,bridgette.guerra@hotmail.com,9982 Manor Drive ,94580,72,2
48,Cesar,Jackson,,cesar.jackson@gmail.com,8068 N. Griffin Ave. ,13090,191,1
49,Caroll,Hays,,caroll.hays@yahoo.com,9381 Wrangler St. ,14450,26,1
50,Cleotilde,Booth,,cleotilde.booth@gmail.com,17 Corona St. ,77478,69,3
51,Gertrud,Rhodes,,gertrud.rhodes@aol.com,9961 Meadowbrook Street ,11566,190,1
52,Tu,Ramirez,,tu.ramirez@hotmail.com,24 W. Courtland Street ,11369,37,1
53,Saturnina,Garner,,saturnina.garner@gmail.com,8538 Fairground St. ,91740,2,2
54,Fran,Yang,,fran.yang@hotmail.com,440 Pearl St. ,13501,126,1
55,Diana,Guerra,,diana.guerra@hotmail.com,45 Chapel Ave. ,11566,190,1
56,Lolita,Mosley,(281) 363-3309,lolita.mosley@hotmail.com,376 S. High Ridge St. ,77016,27,3
57,Pamala,Henry,,pamala.henry@aol.com,197 Bridgeton Ave. ,10451,114,1
58,Damien,Dorsey,,damien.dorsey@yahoo.com,161 Old York Street ,11722,78,1
59,Latasha,Stanley,,latasha.stanley@gmail.com,8068 Fordham Drive ,11570,142,1
